Year,Month,Country,Type,wheat,barley,other
2010,6,England,barley,0,1,0
2010,6,England,barley,0,1,0
2010,6,England,barley,0,1,0
2010,6,England,barley,0,1,0
2010,6,England,barley,0,1,0
2010,5,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,6,England,barley,0,1,0
2009,5,England,barley,0,1,0
2009,5,England,barley,0,1,0
2009,5,England,barley,0,1,0
2008,7,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,6,England,barley,0,1,0
2008,5,England,barley,0,1,0
2007,11,England,barley,0,1,0
2007,6,England,barley,0,1,0
2007,6,England,barley,0,1,0
2007,5,England,barley,0,1,0
2007,5,England,barley,0,1,0
2007,5,England,barley,0,1,0
2007,5,England,barley,0,1,0
2006,8,England,barley,0,1,0
2006,6,England,barley,0,1,0
2006,6,England,barley,0,1,0
2005,7,England,barley,0,1,0
2005,6,England,barley,0,1,0
2005,6,England,barley,0,1,0
2005,6,England,barley,0,1,0
2004,7,England,barley,0,1,0
2004,6,England,barley,0,1,0
2004,6,England,barley,0,1,0
2004,5,England,barley,0,1,0
2004,5,England,barley,0,1,0
2005,6,England,barley,0,1,0
2010,6,England,beans,0,0,1
2009,5,England,cereal,0,0,1
2007,6,England,cereal,0,0,1
2007,6,England,cereal,0,0,1
2010,10,England,corn,0,0,1
2010,8,England,corn,0,0,1
2010,8,England,corn,0,0,1
2010,8,England,corn,0,0,1
2009,8,England,corn,0,0,1
2008,9,England,corn,0,0,1
2008,9,England,corn,0,0,1
2008,9,England,corn,0,0,1
2008,9,England,corn,0,0,1
2007,9,England,corn,0,0,1
2008,9,England,grass,0,0,1
2006,6,England,grass,0,0,1
2005,6,England,grass,0,0,1
2005,5,England,grass,0,0,1
2009,6,England,linseed,0,0,1
2007,8,England,linseed,0,0,1
2005,8,England,linseed,0,0,1
2006,6,England,oats,0,0,1
2010,5,England,rape,0,0,1
2010,5,England,rape,0,0,1
2010,5,England,rape,0,0,1
2010,5,England,rape,0,0,1
2010,5,England,rape,0,0,1
2010,5,England,rape,0,0,1
2009,5,England,rape,0,0,1
2009,5,England,rape,0,0,1
2009,5,England,rape,0,0,1
2009,5,England,rape,0,0,1
2009,5,England,rape,0,0,1
2009,4,England,rape,0,0,1
2009,4,England,rape,0,0,1
2009,4,England,rape,0,0,1
2009,4,England,rape,0,0,1
2009,4,England,rape,0,0,1
2009,4,England,rape,0,0,1
2008,5,England,rape,0,0,1
2008,5,England,rape,0,0,1
2008,5,England,rape,0,0,1
2008,4,England,rape,0,0,1
2007,4,England,rape,0,0,1
2007,4,England,rape,0,0,1
2007,4,England,rape,0,0,1
2006,5,England,rape,0,0,1
2006,5,England,rape,0,0,1
2005,5,England,rape,0,0,1
2005,5,England,rape,0,0,1
2005,5,England,rape,0,0,1
2005,4,England,rape,0,0,1
2005,4,England,rape,0,0,1
2005,4,England,rape,0,0,1
2005,4,England,rape,0,0,1
2005,4,England,rape,0,0,1
2004,5,England,rape,0,0,1
2004,5,England,rape,0,0,1
2004,5,England,rape,0,0,1
2004,5,England,rape,0,0,1
2004,5,England,rape,0,0,1
2010,9,England,wheat,1,0,0
2010,9,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,8,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,7,England,wheat,1,0,0
2010,6,England,wheat,1,0,0
2010,6,England,wheat,1,0,0
2010,6,England,wheat,1,0,0
2010,6,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,8,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,7,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2009,6,England,wheat,1,0,0
2008,9,England,wheat,1,0,0
2008,9,England,wheat,1,0,0
2008,9,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,8,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,5,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,5,England,wheat,1,0,0
2005,1,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
